Alpha,K,Accuracy
50,72,0.9489285714285715
50,74,0.9486904761904762
50,76,0.9476190476190476
50,78,0.9472619047619047
50,80,0.9471428571428572
50,82,0.9466666666666667
50,84,0.9463095238095238
50,86,0.945952380952381
50,88,0.9457142857142857
50,90,0.9451190476190476
50,92,0.9451190476190476
50,94,0.9447619047619048
50,96,0.9448809523809524
50,98,0.9442857142857143
50,100,0.9439285714285715
50,102,0.9432142857142857
50,104,0.9430952380952381
50,106,0.9425
50,108,0.9423809523809524
50,110,0.9423809523809524
50,112,0.9414285714285714
50,114,0.9410714285714286
50,116,0.9410714285714286
50,118,0.9411904761904762
50,120,0.9410714285714286
50,122,0.940595238095238
50,124,0.9396428571428571
50,126,0.9389285714285714
50,128,0.9389285714285714
50,130,0.9386904761904762
50,132,0.9383333333333334
50,134,0.9382142857142857
50,136,0.9378571428571428
50,138,0.9383333333333334
50,140,0.9377380952380953
50,142,0.9376190476190476
50,144,0.9376190476190476
50,146,0.9373809523809524
50,148,0.9371428571428572
50,150,0.9371428571428572
55,1,0.9705952380952381
55,2,0.9654761904761905
55,4,0.9726190476190476
55,6,0.9733333333333334
55,8,0.971547619047619
55,10,0.9710714285714286
55,12,0.9709523809523809
55,14,0.9686904761904762
55,16,0.9680952380952381
55,18,0.9669047619047619
55,20,0.9648809523809524
55,22,0.9645238095238096
55,24,0.9628571428571429
55,26,0.9627380952380953
55,28,0.9614285714285714
55,30,0.9613095238095238
55,32,0.9602380952380952
55,34,0.9595238095238096
55,36,0.9586904761904762
55,38,0.9579761904761904
55,40,0.9572619047619048
55,42,0.9558333333333333
55,44,0.9558333333333333
55,46,0.955595238095238
55,48,0.9544047619047619
55,50,0.955
55,52,0.9538095238095238
55,54,0.9528571428571428
55,56,0.9526190476190476
55,58,0.9519047619047619
55,60,0.9520238095238095
55,62,0.9510714285714286
55,64,0.9503571428571429
55,66,0.9494047619047619
55,68,0.9494047619047619
55,70,0.9491666666666667
55,72,0.9482142857142857
55,74,0.9485714285714286
55,76,0.9485714285714286
55,78,0.9479761904761905
